,0
0,0.97504723072052
1,0.9650314450263977
2,0.9558534026145935
3,0.9450622797012329
4,0.931617021560669
5,0.9148429036140442
6,0.8946554064750671
7,0.8718777894973755
8,0.8476417660713196
9,0.8237801790237427
10,0.801673948764801
11,0.7826166152954102
12,0.7670097947120667
13,0.754973292350769
14,0.7459388375282288
15,0.7395864725112915
16,0.7351481914520264
17,0.7322452068328857
18,0.7301739454269409
19,0.7286730408668518
20,0.7272663712501526
21,0.7258763313293457
22,0.7242472171783447
23,0.7224191427230835
24,0.7202792763710022
25,0.7179017663002014
26,0.7152550220489502
27,0.7124038934707642
28,0.7093749642372131
29,0.7062206268310547
30,0.7030267715454102
31,0.6998304724693298
32,0.6967664361000061
33,0.6938364505767822
34,0.6911922693252563
35,0.6887487769126892
36,0.6865630149841309
37,0.684379518032074
38,0.6821043491363525
39,0.6793578863143921
40,0.6759951114654541
41,0.671672523021698
42,0.6663435101509094
43,0.6598604321479797
44,0.6523768901824951
45,0.6440507769584656
46,0.6353812217712402
47,0.6268661022186279
48,0.6192539930343628
49,0.6129183173179626
50,0.6083135604858398
51,0.6051392555236816
52,0.6033763885498047
53,0.6022363901138306
54,0.6016950607299805
55,0.6012177467346191
56,0.6010213494300842
57,0.6008283495903015
58,0.60077303647995
59,0.600688636302948
60,0.6006423830986023
61,0.6005576252937317
62,0.6004774570465088
63,0.6003719568252563
64,0.6002683043479919
65,0.6001543998718262
66,0.6000450849533081
67,0.5999332666397095
68,0.599825382232666
69,0.5997157096862793
70,0.5996057987213135
71,0.5994904637336731
72,0.5993688106536865
73,0.5992363691329956
74,0.5990908741950989
75,0.5989291667938232
76,0.5987486243247986
77,0.5985472202301025
78,0.5983224511146545
79,0.5980751514434814
80,0.5978032350540161
81,0.5975120067596436
82,0.5972010493278503
83,0.5968821048736572
84,0.5965562462806702
85,0.5962423086166382
86,0.5959385633468628
87,0.5956643223762512
88,0.5954034328460693
89,0.5951617360115051
90,0.5949029326438904
91,0.5946242213249207
92,0.5942975282669067
93,0.5939406156539917
94,0.5935564041137695
95,0.593178391456604
96,0.5928164720535278
97,0.5924913287162781
98,0.5922021269798279
99,0.5919529795646667
