,0
0,0.45979899497487436
1,0.46984924623115576
2,0.4849246231155779
3,0.5477386934673367
4,0.5879396984924623
5,0.6206030150753769
6,0.6381909547738693
7,0.6381909547738693
8,0.6557788944723618
9,0.6683417085427136
10,0.6658291457286433
11,0.6733668341708543
12,0.6834170854271356
13,0.6809045226130653
14,0.6884422110552764
15,0.6984924623115578
16,0.7160804020100503
17,0.7236180904522613
18,0.7261306532663316
19,0.7311557788944724
20,0.7386934673366834
21,0.7386934673366834
22,0.7386934673366834
23,0.7361809045226131
24,0.7412060301507538
25,0.7462311557788944
26,0.7462311557788944
27,0.7412060301507538
28,0.7286432160804021
29,0.7361809045226131
30,0.7462311557788944
31,0.7512562814070352
32,0.7512562814070352
33,0.7537688442211056
34,0.7587939698492462
35,0.7613065326633166
36,0.7713567839195979
37,0.7663316582914573
38,0.7613065326633166
39,0.7587939698492462
40,0.7537688442211056
41,0.7361809045226131
42,0.7311557788944724
43,0.7236180904522613
44,0.7060301507537688
45,0.6959798994974874
46,0.6909547738693468
47,0.6934673366834171
48,0.6859296482412061
49,0.6809045226130653
50,0.6758793969849246
51,0.6758793969849246
52,0.6708542713567839
53,0.6708542713567839
54,0.6708542713567839
55,0.6708542713567839
56,0.6733668341708543
57,0.6733668341708543
58,0.6733668341708543
59,0.6733668341708543
60,0.6733668341708543
61,0.6733668341708543
62,0.6733668341708543
63,0.6733668341708543
64,0.6733668341708543
65,0.6733668341708543
66,0.6733668341708543
67,0.6733668341708543
68,0.6733668341708543
69,0.6733668341708543
70,0.6733668341708543
71,0.6733668341708543
72,0.6733668341708543
73,0.6733668341708543
74,0.6733668341708543
75,0.6733668341708543
76,0.6733668341708543
77,0.6733668341708543
78,0.6733668341708543
79,0.6733668341708543
80,0.6733668341708543
81,0.6733668341708543
82,0.6733668341708543
83,0.6733668341708543
84,0.6733668341708543
85,0.6733668341708543
86,0.6733668341708543
87,0.6733668341708543
88,0.6733668341708543
89,0.6733668341708543
90,0.6733668341708543
91,0.6733668341708543
92,0.6733668341708543
93,0.6733668341708543
94,0.6733668341708543
95,0.6733668341708543
96,0.6733668341708543
97,0.6733668341708543
98,0.6733668341708543
99,0.6733668341708543
