,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.08920847,0.09553347,0.078690335,0.031540688,0.06881347,0.04376031,0.025467062,0.084087156,0.0038426348,0.0901762,0.046147745,0.063720144,0.065935396,0.089511774,0.06366697,0.061393358,0.006665204,0.0518408,0.0150169,0.07374337,1.0143871
1,0.05122219,0.06802278,0.00416729,0.008479201,0.07163234,0.0072084335,0.007125673,0.0012108475,0.09565014,0.07375084,0.03532514,0.029653559,0.034970324,0.077465355,0.06613706,0.018519556,0.017410934,0.009839565,0.06603027,0.076437265,1.0114642
2,0.026504643,0.002094496,0.008217167,0.096786,0.029544478,0.07692231,0.062466357,0.038193963,0.020568727,0.012138641,0.061501298,0.07746338,0.06439043,0.05303021,0.0041951225,0.096848875,0.079871416,0.029282203,0.09799703,0.06018816,1.0082457
3,0.058242265,0.074807316,0.08117698,0.06564786,0.012809575,0.03382675,0.092808366,0.022461561,0.0372167,0.04320769,0.0439405,0.06129396,0.09430759,0.024069272,0.012150138,0.019747049,0.088692494,0.06458108,0.02859068,0.08159469,1.0144703
4,0.086137,0.08465143,0.09189265,0.025224103,0.07550419,0.04605395,0.08419985,0.072849065,0.07764474,0.06561618,0.017742878,0.054502692,0.09846698,0.09373881,0.0043173735,0.016481481,0.013172877,0.07259799,0.081778534,0.021351136,1.0270737
5,0.05058527,0.0840703,0.073280156,0.05422372,0.05903477,0.050836056,0.029754845,0.0565022,0.06888853,0.08733229,0.063629135,0.07611215,0.016007163,0.046155747,0.000933162,0.024667887,0.07264617,0.099181,0.00991781,0.04014943,1.0118902
6,0.0800071,0.020403564,0.055508494,0.07330713,0.061598547,0.018802473,0.035538457,0.07837918,0.055422653,0.0005229614,0.076099075,0.0035311354,0.074573375,0.020248055,0.09580735,0.036794074,0.032693163,0.014888805,0.03056042,0.08766507,1.0149205
7,0.09963343,0.036830954,0.044861063,0.07220709,0.088619575,0.059304435,0.03915257,0.041262183,0.06956182,0.00032182637,0.061958935,0.0355493,0.07941973,0.009299064,0.058820225,0.04809729,0.06423255,0.0064853593,0.057998378,0.05614846,1.0150919
8,0.05606601,0.060348768,0.067646794,0.0804989,0.026982073,0.08250494,0.049825568,0.0077058277,0.005855093,0.033423834,0.0784897,0.070768096,0.0788615,0.051726907,0.0440199,0.014745252,0.032819275,0.043401938,0.008860043,0.022061195,1.0088177
9,0.05982253,0.07356631,0.09983475,0.09331133,0.06425652,0.042124804,0.063617736,0.078565165,0.011833619,0.04099049,0.083980225,0.038383294,0.057187226,0.058776937,0.018447625,0.036223546,0.03345113,0.002619671,0.0024191763,0.083169706,1.0145652
10,0.02730708,0.051807877,0.029872557,0.09406792,0.025929676,0.04296568,0.087273024,0.08419336,0.018610142,0.08026433,0.04581869,0.048296887,0.013347997,0.008060152,0.07279393,0.049646117,0.04368507,0.072950825,0.07655129,0.015890816,1.013199
11,0.061022516,0.013535408,0.07513751,0.06569552,0.09566146,0.0068958015,0.005705472,0.028218707,0.026170569,0.02469788,0.09062546,0.02495462,0.027194973,0.07593983,0.044973984,0.07767106,0.0065366155,0.04875712,0.00336136,0.0062653203,1.0107011
12,0.09064375,0.013924537,0.05324207,0.041109562,0.03473433,0.08998334,0.0021823398,0.066378966,0.09633944,0.056016818,0.093682244,0.005225788,0.041879334,0.026015779,0.0730821,0.09812971,0.025653007,0.06541746,0.019809764,0.056533024,1.0133834
13,0.04639325,0.097200535,0.06085273,0.034950636,0.011409579,0.015124683,0.022531694,0.025096666,0.0850616,0.05612228,0.052339092,0.011476887,0.08601397,0.07228143,0.006766836,0.07078351,0.054353822,0.008172534,0.045830064,0.04846963,1.0177578
14,0.016577454,0.09456982,0.084997535,0.066902235,0.046229556,0.041176554,0.06509735,0.054543186,0.0062273107,0.051250264,0.08064036,0.04592399,0.0051956577,0.07862782,0.020136379,0.025862083,0.016470635,0.033021506,0.07567515,0.051938586,1.0227842
15,0.020488128,0.08778301,0.08795819,0.087057844,0.023879621,0.045123935,0.09849896,0.07720125,0.0027167422,0.006520459,0.046393137,0.09092202,0.05387018,0.04978125,0.01054737,0.06567801,0.08221032,0.038042,0.077561185,0.09644767,1.0178839
16,0.020376645,0.052332964,0.028713796,0.07928544,0.057759337,0.06345824,0.07979142,0.039597046,0.09150901,0.053302888,0.015795482,0.06958991,0.07932614,0.03167617,0.085717924,0.09061433,0.027690448,0.09835215,0.014071153,0.020201568,1.0017529
17,0.018422484,0.08939897,0.065429255,0.015210428,0.044032343,0.061529804,0.008346409,0.08824164,0.08036035,0.050520677,0.096712664,0.0417761,0.09841103,0.066792,0.06346713,0.01659549,0.088192776,0.04274897,0.016223341,0.001260752,1.0143665
18,0.055975568,0.052739963,0.07193536,0.0890258,0.007940658,0.07314965,0.018741194,0.0858177,0.08190635,0.054079376,0.07102428,0.031435013,0.04711679,0.08216369,0.04592652,0.035779826,0.049421243,0.08282492,0.033520807,0.017376158,1.0189829
19,0.0712014,0.08259782,0.010063748,0.02398741,0.014197199,0.03479414,0.045035098,0.074882634,0.06511476,0.062092856,0.035237495,0.084144756,0.04712872,0.09791049,0.063414216,0.012626474,0.06761776,0.0325104,0.06863272,0.006964115,1.0105805
